75	106	0.330711
85	103	0.489672
88	4	0.606149
49	119	0.568783
73	98	0.627236
179	183	0.672601
95	115	0.909748
119	86	0.533898
56	8	0.590504
74	97	0.640282
120	127	0.795376
71	148	0.947194
133	132	0.725314
130	126	0.845988
142	132	0.861746
120	134	0.842757
278	216	0.580773
174	229	0.437189
35	221	1.037955
201	172	0.652942
195	155	0.528385
224	33	0.720784
200	107	0.542159
216	152	0.614957
52	88	0.659156
184	144	0.663483
142	137	0.606344
150	131	0.733272
125	140	0.724322
102	149	0.550945
128	108	0.542359
120	208	0.477224
174	56	0.646581
176	136	0.713758
186	157	0.622258
202	170	0.790263
234	176	0.706729
169	157	0.783988
181	187	0.705599
178	186	0.860378
210	5	1.049073
274	10	1.218650
182	179	1.012819
187	173	0.789161
202	130	0.621588
64	56	0.600679
182	130	0.508514
194	144	0.549664
158	85	0.487160
217	6	0.534637
279	81	0.503852
296	70	0.826570
129	173	0.835672
167	179	0.746082
189	162	0.735514
164	211	0.689616
203	163	0.675866
209	15	0.700765
26	16	0.708595
188	52	0.593499
48	15	0.691162
4	250	0.677050
32	245	0.562831
60	122	0.642159
112	162	0.569003
110	174	0.626033
127	138	0.566437
86	119	0.660481
135	113	0.836864
31	130	0.449993
78	111	0.489462
119	112	0.599576
144	156	0.892579
121	302	0.975089
166	161	0.938993
171	175	0.866376
175	184	0.937555
176	207	0.731777
187	303	0.652781
78	335	0.583840
93	246	0.770270
206	4	0.707037
166	10	0.746702
194	97	0.704153
182	176	0.590272
200	170	0.640086
207	200	0.545753
208	328	0.652536
291	167	0.737060
211	159	0.800332
299	235	0.827291
331	0	0.857086
186	199	0.783936
219	235	0.620465
292	62	0.556848
200	168	0.511405
274	118	0.706111
