75	106
85	103
88	4
49	119
73	98
179	183
95	115
119	86
56	8
74	97
120	127
71	148
133	132
130	126
142	132
120	134
278	216
174	229
35	221
201	172
195	155
224	33
200	107
216	152
52	88
184	144
142	137
150	131
125	140
102	149
128	108
120	208
174	56
176	136
186	157
202	170
234	176
169	157
181	187
178	186
210	5
274	10
182	179
187	173
202	130
64	56
182	130
194	144
158	85
217	6
279	81
296	70
129	173
167	179
189	162
164	211
203	163
209	15
26	16
188	52
48	15
4	250
32	245
60	122
112	162
110	174
127	138
86	119
135	113
31	130
78	111
119	112
144	156
121	302
166	161
171	175
175	184
176	207
187	303
78	335
93	246
206	4
166	10
194	97
182	176
200	170
207	200
208	328
291	167
211	159
299	235
331	0
186	199
219	235
292	62
200	168
274	118
